River	Outdoors & Recreation
Movie Theater	Arts & Entertainment
College Stadium	College & University
Music School	Professional & Other Places
Building	Professional & Other Places
Housing Development	Residence
Hot Dog Joint	Food
Brewery	Nightlife Spot
Vietnamese Restaurant	Food
Sushi Restaurant	Food
Pet Service	Shop & Service
Record Shop	Shop & Service
Toy / Game Store	Shop & Service
Historic Site	Arts & Entertainment
Home (private)	Residence
Airport	Travel & Transport
Australian Restaurant	Food
Tanning Salon	Shop & Service
Fast Food Restaurant	Food
Bike Shop	Shop & Service
Road	Travel & Transport
Storage Facility	Shop & Service
Hobby Shop	Shop & Service
Cosmetics Shop	Shop & Service
Tea Room	Food
Peruvian Restaurant	Food
Restaurant	Food
Travel & Transport	Travel & Transport
Chinese Restaurant	Food
Winery	Professional & Other Places
Nail Salon	Shop & Service
Bridge	Outdoors & Recreation
Electronics Store	Shop & Service
Soup Place	Food
Spa / Massage	Shop & Service
General Entertainment	Arts & Entertainment
Snack Place	Food
City	Outdoors & Recreation
Gluten-free Restaurant	Food
Music Venue	Arts & Entertainment
Casino	Arts & Entertainment
Professional & Other Places	Professional & Other Places
Malaysian Restaurant	Food
Sculpture Garden	Outdoors & Recreation
Outdoors & Recreation	Outdoors & Recreation
Elementary School	Professional & Other Places
Mac & Cheese Joint	Food
Pet Store	Shop & Service
Eastern European Restaurant	Food
Swiss Restaurant	Food
Hardware Store	Shop & Service
Other Nightlife	Nightlife Spot
Fraternity House	College & University
Burger Joint	Food
Racetrack	Arts & Entertainment
American Restaurant	Food
Performing Arts Venue	Arts & Entertainment
Comedy Club	Arts & Entertainment
Sandwich Place	Food
Laundry Service	Shop & Service
Video Store	Shop & Service
Stadium	Arts & Entertainment
Indian Restaurant	Food
Arepa Restaurant	Food
Medical School	College & University
Furniture / Home Store	Shop & Service
Gas Station / Garage	Shop & Service
Donut Shop	Food
Arts & Entertainment	Arts & Entertainment
College Theater	College & University
Moving Target	Travel & Transport
Science Museum	Arts & Entertainment
Drugstore / Pharmacy	Shop & Service
African Restaurant	Food
Pizza Place	Food
Student Center	College & University
Theater	Arts & Entertainment
High School	Professional & Other Places
History Museum	Arts & Entertainment
Turkish Restaurant	Food
Aquarium	Arts & Entertainment
Salad Place	Food
Department Store	Shop & Service
Dumpling Restaurant	Food
Thrift / Vintage Store	Shop & Service
Bar	Nightlife Spot
Financial or Legal Service	Shop & Service
Scenic Lookout	Outdoors & Recreation
Filipino Restaurant	Food
Plaza	Outdoors & Recreation
Museum	Arts & Entertainment
Post Office	Professional & Other Places
Antique Shop	Shop & Service
South American Restaurant	Food
Dim Sum Restaurant	Food
Recycling Facility	Shop & Service
Mosque	Professional & Other Places
Planetarium	Arts & Entertainment
German Restaurant	Food
Military Base	Professional & Other Places
Music Store	Shop & Service
Food Truck	Food
Taco Place	Food
Seafood Restaurant	Food
Fish & Chips Shop	Food
Convenience Store	Shop & Service
Trade School	College & University
Fair	Professional & Other Places
Athletic & Sport	Outdoors & Recreation
Mexican Restaurant	Food
Community College	College & University
