Housing Development	Residence
Vietnamese Restaurant	Food
Brewery	Nightlife Spot
Hot Dog Joint	Food
Sushi Restaurant	Food
Pet Service	Shop & Service
Record Shop	Shop & Service
Toy / Game Store	Shop & Service
Historic Site	Arts & Entertainment
Airport	Travel & Transport
Home (private)	Residence
Australian Restaurant	Food
Tanning Salon	Shop & Service
Fast Food Restaurant	Food
Bike Shop	Shop & Service
Road	Travel & Transport
Storage Facility	Shop & Service
Hobby Shop	Shop & Service
Cosmetics Shop	Shop & Service
Tea Room	Food
Peruvian Restaurant	Food
Restaurant	Food
Travel & Transport	Travel & Transport
Chinese Restaurant	Food
Winery	Professional & Other Places
Nail Salon	Shop & Service
Bridge	Outdoors & Recreation
Electronics Store	Shop & Service
General Entertainment	Arts & Entertainment
Spa / Massage	Shop & Service
Soup Place	Food
Snack Place	Food
City	Outdoors & Recreation
Gluten-free Restaurant	Food
Music Venue	Arts & Entertainment
Casino	Arts & Entertainment
Professional & Other Places	Professional & Other Places
Sculpture Garden	Outdoors & Recreation
Malaysian Restaurant	Food
Outdoors & Recreation	Outdoors & Recreation
Elementary School	Professional & Other Places
Mac & Cheese Joint	Food
Pet Store	Shop & Service
Eastern European Restaurant	Food
Swiss Restaurant	Food
Hardware Store	Shop & Service
Other Nightlife	Nightlife Spot
Fraternity House	College & University
Burger Joint	Food
Racetrack	Arts & Entertainment
American Restaurant	Food
Performing Arts Venue	Arts & Entertainment
Comedy Club	Arts & Entertainment
Sandwich Place	Food
Laundry Service	Shop & Service
Video Store	Shop & Service
Stadium	Arts & Entertainment
Indian Restaurant	Food
Arepa Restaurant	Food
Furniture / Home Store	Shop & Service
Medical School	College & University
Gas Station / Garage	Shop & Service
Donut Shop	Food
Arts & Entertainment	Arts & Entertainment
College Theater	College & University
Moving Target	Travel & Transport
Science Museum	Arts & Entertainment
Drugstore / Pharmacy	Shop & Service
African Restaurant	Food
History Museum	Arts & Entertainment
Student Center	College & University
High School	Professional & Other Places
Aquarium	Arts & Entertainment
Theater	Arts & Entertainment
Pizza Place	Food
Turkish Restaurant	Food
Thrift / Vintage Store	Shop & Service
Department Store	Shop & Service
Dumpling Restaurant	Food
Ethiopian Restaurant	Food
Salad Place	Food
Bar	Nightlife Spot
Financial or Legal Service	Shop & Service
Scenic Lookout	Outdoors & Recreation
Plaza	Outdoors & Recreation
Post Office	Professional & Other Places
Museum	Arts & Entertainment
Antique Shop	Shop & Service
Dim Sum Restaurant	Food
Mosque	Professional & Other Places
Recycling Facility	Shop & Service
Planetarium	Arts & Entertainment
South American Restaurant	Food
Military Base	Professional & Other Places
German Restaurant	Food
Music Store	Shop & Service
Food Truck	Food
Taco Place	Food
Seafood Restaurant	Food
Fish & Chips Shop	Food
Convenience Store	Shop & Service
Cafe	Food
Trade School	College & University
Fair	Professional & Other Places
Athletic & Sport	Outdoors & Recreation
Mexican Restaurant	Food
Community College	College & University
